PROPERTY_ID,COUNTRY,PROVINCE,CITY,PROPERTY_PRICE,BEDROOMS,BATHROOMS,PARKING,FLOOR_SIZE,Monthly_Repayment,Total_Once_off_Costs,Min_Gross_Monthly_Income
32,South Africa,Free State,Welkom,2283257,1,1,3,178,12539,170885,183113
33,South Africa,Mpumalanga,Nelspruit,1504811,4,2,1,94,41213,195879,31532
34,South Africa,Limpopo,Tzaneen,1377035,4,1,2,89,46606,125787,187201
35,South Africa,North West,Rustenburg,1498143,4,2,3,91,50707,66517,86635
36,South Africa,Northern Cape,Upington,2350942,2,3,1,122,10754,153363,69774
37,South Africa,Gauteng,Midrand,5110029,1,3,2,103,9332,264345,96111
38,South Africa,Western Cape,Claremont,4125709,4,1,1,148,28409,178562,136339
39,South Africa,KwaZulu-Natal,Ballito,934654,3,2,2,190,49928,70190,61290
40,South Africa,Eastern Cape,Gqeberha,1803277,3,1,3,74,19799,240908,174359
41,South Africa,Free State,Bloemfontein,1441723,3,3,3,135,21548,219441,86069
42,South Africa,Mpumalanga,White River,1378178,3,2,3,179,15459,137354,94689
43,South Africa,Limpopo,Polokwane,2155416,4,1,3,171,20627,307576,85102
44,South Africa,North West,Hartbeespoort,3420406,3,3,2,239,49653,180539,72840
45,South Africa,Northern Cape,Kimberley,1199457,3,1,1,132,34471,349037,89321
46,South Africa,Gauteng,Sandton,4266664,4,2,1,69,12155,202323,145621
47,South Africa,Western Cape,Sea Point,4235659,1,3,1,63,8557,188321,95753
48,South Africa,KwaZulu-Natal,Hillcrest,4235357,4,3,3,156,20255,311172,114976
49,South Africa,Eastern Cape,Gqeberha,2315689,2,1,2,181,42143,269743,62686
50,South Africa,Free State,Welkom,918148,2,3,1,95,35755,105338,93996
51,South Africa,Mpumalanga,Nelspruit,2675665,4,1,3,207,28717,77858,40329
52,South Africa,Limpopo,Tzaneen,1106508,2,1,2,201,52953,311660,178748
53,South Africa,North West,Rustenburg,1653591,1,1,3,114,51217,209961,130084
54,South Africa,Northern Cape,Upington,1746942,1,3,1,110,28064,323507,91693
55,South Africa,Gauteng,Alberton,2720928,3,1,2,231,34608,94276,87866
56,South Africa,Western Cape,Cape Town,5005299,2,2,2,106,9583,85640,70367
57,South Africa,KwaZulu-Natal,Umhlanga,3407489,1,1,2,89,8296,311228,143782
58,South Africa,Eastern Cape,Gqeberha,2623415,1,3,3,108,27200,98248,93622
59,South Africa,Free State,Bloemfontein,1655889,2,3,2,61,15125,314462,163557
60,South Africa,Mpumalanga,White River,2358349,4,1,1,148,43882,282339,126241
61,South Africa,Limpopo,Polokwane,2213715,1,1,3,98,10961,339900,144165
62,South Africa,North West,Hartbeespoort,2070405,3,3,1,68,9955,289617,111436
63,South Africa,Northern Cape,Kimberley,1121836,2,3,3,169,24607,110172,33958
64,South Africa,Gauteng,Fourways,4434702,3,1,2,102,12892,247951,183440
65,South Africa,Western Cape,Stellenbosch,2945505,1,1,3,231,45214,242447,121128
66,South Africa,KwaZulu-Natal,Durban North,3937065,1,3,3,72,39444,261043,106308
67,South Africa,Eastern Cape,Gqeberha,3149435,1,2,1,86,44760,56888,172141
68,South Africa,Free State,Welkom,1046769,2,1,2,154,28725,167358,62793
69,South Africa,Mpumalanga,Nelspruit,2121741,1,1,3,91,28437,347380,106068
70,South Africa,Limpopo,Tzaneen,1896797,4,3,2,73,27992,57879,118736
71,South Africa,North West,Rustenburg,2434398,2,2,1,69,21081,120912,94918
72,South Africa,Northern Cape,Upington,1337879,4,2,3,156,14077,328895,52685
73,South Africa,Gauteng,Centurion,1414685,1,3,2,170,48005,244809,181138
74,South Africa,Western Cape,Bellville,3729190,3,3,3,124,13028,183388,137126
75,South Africa,KwaZulu-Natal,Ballito,2252107,3,1,3,171,15016,57906,88010
76,South Africa,Eastern Cape,Gqeberha,2161736,2,2,1,75,13913,217322,65533
77,South Africa,Free State,Bloemfontein,1857293,1,2,1,237,31091,312178,104803
78,South Africa,Mpumalanga,White River,1429879,2,1,1,117,12161,84599,79548
79,South Africa,Limpopo,Polokwane,873247,1,2,1,179,21759,61526,78299
80,South Africa,North West,Hartbeespoort,1922876,4,3,3,190,12581,334734,50724
81,South Africa,Northern Cape,Kimberley,2365857,4,1,3,214,16570,84662,188095
82,South Africa,Gauteng,Midrand,3554238,2,2,2,147,16733,117982,37507
83,South Africa,Western Cape,Claremont,3480708,4,1,1,182,11766,79601,135650
84,South Africa,KwaZulu-Natal,Hillcrest,4344679,3,3,2,171,39076,338608,186902
85,South Africa,Eastern Cape,Gqeberha,2172905,2,2,3,146,27673,162349,79077
86,South Africa,Free State,Welkom,2617640,4,3,2,203,26534,307844,175992
87,South Africa,Mpumalanga,Nelspruit,2135160,1,1,3,225,22668,240956,138215
88,South Africa,Limpopo,Tzaneen,2460908,2,3,2,113,35289,96540,117885
89,South Africa,North West,Rustenburg,2736222,3,3,3,171,46746,81224,92417
90,South Africa,Northern Cape,Upington,1828732,1,2,3,110,41572,304235,143559
91,South Africa,Gauteng,Sandton,2275472,3,2,2,106,29962,325245,85276
92,South Africa,Western Cape,Sea Point,898984,1,1,1,114,50377,310606,68485
93,South Africa,KwaZulu-Natal,Umhlanga,3250070,1,3,1,114,8536,317031,48282
94,South Africa,Eastern Cape,Gqeberha,3211864,3,2,3,86,8823,302724,41858
95,South Africa,Free State,Bloemfontein,2018727,1,3,1,202,38234,323255,65905
96,South Africa,Mpumalanga,White River,2354384,2,1,2,203,31116,196160,174666
97,South Africa,Limpopo,Polokwane,2883643,4,3,3,163,44844,56063,163054
98,South Africa,North West,Hartbeespoort,3080919,1,3,1,187,49795,325187,80407
99,South Africa,Northern Cape,Kimberley,1498663,2,2,1,231,16203,128556,180298
100,South Africa,Gauteng,Alberton,2602126,1,1,2,112,21430,191848,185997
101,South Africa,Western Cape,Cape Town,5180634,3,3,3,150,51915,327530,52275
102,South Africa,KwaZulu-Natal,Durban North,3427906,2,2,3,164,15326,58544,105434
103,South Africa,Eastern Cape,Gqeberha,2587095,1,1,2,131,52597,220857,186680
104,South Africa,Free State,Welkom,863986,3,2,1,200,40263,328161,117333
105,South Africa,Mpumalanga,Nelspruit,1436146,1,3,2,219,20805,131879,62618
106,South Africa,Limpopo,Tzaneen,1138998,2,3,2,149,13669,164064,113919
107,South Africa,North West,Rustenburg,3575928,2,3,3,166,32455,112565,117782
108,South Africa,Northern Cape,Upington,2606187,4,2,2,162,11770,117049,46857
109,South Africa,Gauteng,Fourways,2693400,1,3,3,85,31247,63808,98440
110,South Africa,Western Cape,Stellenbosch,1929111,2,3,2,90,52260,337311,67443
111,South Africa,KwaZulu-Natal,Ballito,1846107,3,2,1,218,31440,139841,93493
112,South Africa,Eastern Cape,Gqeberha,1201279,2,2,2,158,48568,58249,122215
113,South Africa,Free State,Bloemfontein,1763910,1,3,2,109,29859,236475,48005
114,South Africa,Mpumalanga,White River,2720230,2,2,2,79,27746,215556,87570
115,South Africa,Limpopo,Polokwane,1339570,2,2,2,160,45513,169279,82577
116,South Africa,North West,Hartbeespoort,2900731,4,2,1,172,23335,110852,164160
117,South Africa,Northern Cape,Kimberley,2355127,2,1,1,214,19987,92880,104161
118,South Africa,Gauteng,Centurion,2971690,1,2,3,198,49319,52413,141895
119,South Africa,Western Cape,Bellville,3841650,1,1,2,163,10972,218156,51724
120,South Africa,KwaZulu-Natal,Hillcrest,3148816,2,1,1,62,17748,170454,182199
121,South Africa,Eastern Cape,Gqeberha,1341234,2,1,1,204,51198,329644,104429
122,South Africa,Free State,Welkom,989182,2,3,3,144,13759,296910,95898
123,South Africa,Mpumalanga,Nelspruit,2371101,3,1,2,149,37292,57996,111667
124,South Africa,Limpopo,Tzaneen,2056914,1,1,2,177,18571,60798,128450
125,South Africa,North West,Rustenburg,1034064,1,3,1,118,36759,147563,36926
126,South Africa,Northern Cape,Upington,1064020,1,3,2,72,26257,305479,113203
127,South Africa,Gauteng,Midrand,3986729,1,1,3,217,34909,282566,137741
128,South Africa,Western Cape,Claremont,7017294,3,3,3,224,20072,326021,148893
129,South Africa,KwaZulu-Natal,Umhlanga,1747421,1,1,1,122,35810,292677,43042
130,South Africa,Eastern Cape,Gqeberha,2544490,4,3,1,223,12747,147773,31499
131,South Africa,Free State,Bloemfontein,2017752,2,2,3,94,10195,154905,147792
132,South Africa,Mpumalanga,White River,972409,1,3,2,224,41075,156266,146843
133,South Africa,Limpopo,Polokwane,2866716,2,3,2,80,40848,127023,188853
134,South Africa,North West,Hartbeespoort,3200770,1,1,2,119,32317,181894,82185
135,South Africa,Northern Cape,Kimberley,1619598,3,1,3,196,44414,349335,101749
136,South Africa,Gauteng,Sandton,4117824,3,1,1,229,17581,208286,146669
137,South Africa,Western Cape,Sea Point,4181068,4,2,3,74,39987,213986,77477
138,South Africa,KwaZulu-Natal,Durban North,4106415,3,2,2,168,47258,234337,181838
139,South Africa,Eastern Cape,Gqeberha,1724371,3,2,1,140,15896,330265,112530
140,South Africa,Free State,Welkom,2309933,3,1,1,219,22781,329685,156750
141,South Africa,Mpumalanga,Nelspruit,2004454,1,1,2,71,43550,81823,42680
142,South Africa,Limpopo,Tzaneen,1823548,2,3,3,217,9975,202739,140678
143,South Africa,North West,Rustenburg,2063475,4,1,1,104,47989,115803,171744
144,South Africa,Northern Cape,Upington,2223343,2,3,1,238,41147,87863,112367
145,South Africa,Gauteng,Alberton,3809034,4,2,2,178,17087,89607,104269
146,South Africa,Western Cape,Cape Town,6972738,4,3,2,109,25669,298425,43591
147,South Africa,KwaZulu-Natal,Ballito,1229989,1,2,3,160,19068,283636,88127
148,South Africa,Eastern Cape,Gqeberha,3362667,2,1,2,215,50985,90145,67459
149,South Africa,Free State,Bloemfontein,893585,2,2,2,224,11906,230223,71027
150,South Africa,Mpumalanga,White River,2269945,2,2,3,170,34709,311034,73658
151,South Africa,Limpopo,Polokwane,959556,4,3,3,75,27830,68207,137297
152,South Africa,North West,Hartbeespoort,2425557,4,3,2,151,14506,343830,112552
153,South Africa,Northern Cape,Kimberley,1617595,4,2,3,82,12439,173759,58996
154,South Africa,Gauteng,Fourways,5244539,1,3,3,83,36236,134004,85933
155,South Africa,Western Cape,Stellenbosch,2973091,4,3,1,188,28790,255144,121929
156,South Africa,KwaZulu-Natal,Hillcrest,2859021,1,3,1,112,30532,257857,167167
157,South Africa,Eastern Cape,Gqeberha,2051482,2,1,3,68,23762,213267,87552
158,South Africa,Free State,Welkom,1392335,1,1,3,190,22093,244031,91370
159,South Africa,Mpumalanga,Nelspruit,925766,3,1,1,209,23453,279482,182211
160,South Africa,Limpopo,Tzaneen,2551240,3,1,2,145,50669,272124,123934
161,South Africa,North West,Rustenburg,1834346,2,1,2,149,49345,76249,54933
162,South Africa,Northern Cape,Upington,2353165,3,3,2,90,8448,63159,178926
163,South Africa,Gauteng,Centurion,3085000,4,3,3,98,21232,126868,176540
164,South Africa,Western Cape,Bellville,5172252,3,1,3,61,43647,179921,134592
165,South Africa,KwaZulu-Natal,Umhlanga,2477880,1,1,3,200,30229,346502,158208
166,South Africa,Eastern Cape,Gqeberha,1252690,4,2,1,232,41580,340087,176886
167,South Africa,Free State,Bloemfontein,1349046,3,3,1,178,39448,219514,157830
168,South Africa,Mpumalanga,White River,871959,2,3,2,222,14594,314775,136984
169,South Africa,Limpopo,Polokwane,2648792,3,3,2,218,27714,131148,122095
170,South Africa,North West,Hartbeespoort,2804109,4,3,1,114,11033,200347,104437
171,South Africa,Northern Cape,Kimberley,1078576,3,3,1,175,35767,277738,30777
172,South Africa,Gauteng,Midrand,3962754,3,2,3,77,41197,148238,151050
173,South Africa,Western Cape,Claremont,7307294,1,2,2,84,42926,72749,156394
174,South Africa,KwaZulu-Natal,Durban North,2234250,1,2,1,145,32756,156765,176824
175,South Africa,Eastern Cape,Gqeberha,911087,1,3,3,160,33438,56716,30814
176,South Africa,Free State,Welkom,1863343,3,3,1,73,17595,62720,126174
177,South Africa,Mpumalanga,Nelspruit,2932263,1,2,2,208,39804,120507,110735
178,South Africa,Limpopo,Tzaneen,2346176,1,1,3,200,23065,101019,47841
179,South Africa,North West,Rustenburg,2736013,1,1,2,134,14765,92671,150213
180,South Africa,Northern Cape,Upington,1289792,2,3,2,109,34325,102144,148380
181,South Africa,Gauteng,Sandton,889353,4,1,1,89,32963,88236,141572
182,South Africa,Western Cape,Sea Point,7334531,2,2,1,70,27241,240798,41228
183,South Africa,KwaZulu-Natal,Ballito,4210011,3,1,3,67,46688,199263,58802
184,South Africa,Eastern Cape,Gqeberha,915318,3,3,2,83,51888,140600,168980
185,South Africa,Free State,Bloemfontein,1615313,1,1,3,221,28713,250606,91488
186,South Africa,Mpumalanga,White River,2381266,4,2,3,149,18110,299467,111845
187,South Africa,Limpopo,Polokwane,1266880,2,1,1,152,48022,52801,106422
188,South Africa,North West,Hartbeespoort,3538612,4,3,2,217,9586,170093,164010
189,South Africa,Northern Cape,Kimberley,1590976,3,3,1,116,15376,198504,62594
190,South Africa,Gauteng,Alberton,1663168,3,1,2,236,49690,306311,97727
191,South Africa,Western Cape,Cape Town,1075281,1,1,3,118,10653,315344,57355
192,South Africa,KwaZulu-Natal,Hillcrest,3967697,2,3,1,174,31702,181028,78014
193,South Africa,Eastern Cape,Gqeberha,2250804,2,1,1,137,45138,62715,108554
194,South Africa,Free State,Welkom,2330415,4,3,2,186,15404,212668,125212
195,South Africa,Mpumalanga,Nelspruit,1119536,4,3,2,151,51771,101235,115221
196,South Africa,Limpopo,Tzaneen,2156002,3,2,2,65,52330,216458,111852
197,South Africa,North West,Rustenburg,1027789,1,1,1,88,39788,282739,142622
198,South Africa,Northern Cape,Upington,2411729,3,3,3,162,32269,274601,154648
199,South Africa,Gauteng,Fourways,3072809,4,3,1,85,23950,143801,94485
200,South Africa,Western Cape,Stellenbosch,6328047,1,2,3,204,36154,90419,76561
201,South Africa,KwaZulu-Natal,Umhlanga,1531669,4,3,3,76,37909,257007,41851
202,South Africa,Eastern Cape,Gqeberha,1969043,2,3,3,95,32017,77962,132606
203,South Africa,Free State,Bloemfontein,2082310,4,1,1,199,40356,133228,75393
204,South Africa,Mpumalanga,White River,3056903,3,3,3,196,45774,312878,121214
205,South Africa,Limpopo,Polokwane,2279626,1,2,2,64,31246,231900,57141
206,South Africa,North West,Hartbeespoort,2591093,1,1,2,183,22828,166987,189207
207,South Africa,Northern Cape,Kimberley,1311079,1,2,2,66,28667,228685,79293
208,South Africa,Gauteng,Centurion,5150385,3,1,2,125,17514,258387,182438
209,South Africa,Western Cape,Bellville,3930389,3,2,2,74,45098,64048,188904
210,South Africa,KwaZulu-Natal,Durban North,2511909,3,3,1,81,13301,195183,158752
211,South Africa,Eastern Cape,Gqeberha,960078,2,1,2,83,12840,65292,96693
212,South Africa,Free State,Welkom,872671,1,3,1,60,15980,87968,134287
213,South Africa,Mpumalanga,Nelspruit,2316976,1,2,2,109,50865,141948,148858
214,South Africa,Limpopo,Tzaneen,2254104,1,3,1,147,13756,130104,68278
215,South Africa,North West,Rustenburg,2858187,1,2,1,134,45431,101611,161551
216,South Africa,Northern Cape,Upington,2509066,2,1,3,217,35637,220984,168742
217,South Africa,Gauteng,Midrand,5023125,1,1,3,195,40865,314154,77175
218,South Africa,Western Cape,Claremont,2998815,2,1,3,193,38690,260188,158092
219,South Africa,KwaZulu-Natal,Ballito,4011436,4,1,3,112,17493,153703,185519
220,South Africa,Eastern Cape,Gqeberha,1161955,3,3,1,82,35938,153971,148405
221,South Africa,Free State,Bloemfontein,2032459,3,3,3,166,35183,286495,120700
222,South Africa,Mpumalanga,White River,3059699,1,3,1,83,31580,110688,74481
223,South Africa,Limpopo,Polokwane,1760681,3,3,3,195,51403,282103,78578
224,South Africa,North West,Hartbeespoort,2457618,1,3,3,186,36384,195127,175747
225,South Africa,Northern Cape,Kimberley,2649678,2,1,3,238,41444,185748,171438
226,South Africa,Gauteng,Sandton,5186787,3,2,1,156,34956,285443,85705
227,South Africa,Western Cape,Sea Point,3605423,3,1,2,116,14560,235614,138554
228,South Africa,KwaZulu-Natal,Hillcrest,2883350,2,1,1,165,28670,219611,108894
229,South Africa,Eastern Cape,Gqeberha,3161987,2,3,1,163,11001,322171,145598
230,South Africa,Free State,Welkom,1251896,4,1,2,239,35259,239514,119721
231,South Africa,Mpumalanga,Nelspruit,3032048,2,3,3,123,26218,124186,133954
232,South Africa,Limpopo,Tzaneen,1327095,1,3,1,148,26541,346133,149878
233,South Africa,North West,Rustenburg,921295,1,3,1,62,44979,93321,92141
234,South Africa,Northern Cape,Upington,1593974,3,2,3,137,48711,246290,154454
235,South Africa,Gauteng,Alberton,4295376,3,1,1,132,32285,99037,126999
236,South Africa,Western Cape,Cape Town,6101035,2,1,3,163,23515,243575,139528
237,South Africa,KwaZulu-Natal,Umhlanga,4462600,1,1,1,129,32081,215668,59126
238,South Africa,Eastern Cape,Gqeberha,1675816,2,1,2,62,47539,270799,83372
239,South Africa,Free State,Bloemfontein,1224705,2,1,3,176,40003,166054,50166
240,South Africa,Mpumalanga,White River,2706926,1,3,1,171,13002,347536,181954
241,South Africa,Limpopo,Polokwane,2508845,3,3,3,121,13839,57797,100103
242,South Africa,North West,Hartbeespoort,2876793,3,2,2,172,29669,298250,96243
243,South Africa,Northern Cape,Kimberley,1404594,3,3,2,193,43573,168186,34548
244,South Africa,Gauteng,Fourways,997718,3,2,1,227,52401,304951,165192
245,South Africa,Western Cape,Stellenbosch,5689567,4,3,2,165,52649,215877,176585
246,South Africa,KwaZulu-Natal,Durban North,4354473,4,1,3,177,51938,183312,59959
247,South Africa,Eastern Cape,Gqeberha,3054664,3,2,2,129,41090,335238,91955
248,South Africa,Free State,Welkom,997443,1,3,2,188,34089,325112,45164
249,South Africa,Mpumalanga,Nelspruit,2369163,1,2,3,211,15525,127736,186596
250,South Africa,Limpopo,Tzaneen,1223616,2,2,3,232,33007,187438,164014
251,South Africa,North West,Rustenburg,3604561,4,1,1,61,28904,226386,46031
252,South Africa,Northern Cape,Upington,1536976,3,1,1,193,9788,304692,68825
253,South Africa,Gauteng,Centurion,3322189,3,2,3,223,48323,163475,68439
254,South Africa,Western Cape,Bellville,3991259,1,3,1,145,10038,309799,157105
255,South Africa,KwaZulu-Natal,Ballito,3754516,2,3,3,220,51965,164100,165364
256,South Africa,Eastern Cape,Gqeberha,967796,1,2,1,125,47440,281283,127582
257,South Africa,Free State,Bloemfontein,2190575,4,3,1,96,19951,151748,36514
258,South Africa,Mpumalanga,White River,2091082,1,2,3,135,30705,335908,174902
259,South Africa,Limpopo,Polokwane,1840198,3,1,2,224,43619,315288,118501
260,South Africa,North West,Hartbeespoort,1548376,1,3,3,100,42025,120532,86070
261,South Africa,Northern Cape,Kimberley,1119544,1,2,2,165,40461,328133,96047
262,South Africa,Gauteng,Midrand,4964639,3,2,2,229,8858,293713,58695
263,South Africa,Western Cape,Claremont,3538130,4,3,1,81,11789,260124,76182
264,South Africa,KwaZulu-Natal,Hillcrest,4524515,4,2,1,81,38078,87040,50109
265,South Africa,Eastern Cape,Gqeberha,2429159,4,2,3,65,36260,331671,187730
266,South Africa,Free State,Welkom,1757317,4,3,2,154,35719,178421,188974
267,South Africa,Mpumalanga,Nelspruit,1171184,3,2,3,194,26934,165627,135664
268,South Africa,Limpopo,Tzaneen,2697191,4,3,2,161,17768,312030,153687
269,South Africa,North West,Rustenburg,2321091,3,2,3,186,31188,339774,117405
270,South Africa,Northern Cape,Upington,1518234,3,2,3,103,17012,219851,74342
271,South Africa,Gauteng,Sandton,1228480,1,2,3,145,28127,240660,87058
272,South Africa,Western Cape,Sea Point,7174167,1,2,2,116,11626,130652,43163
273,South Africa,KwaZulu-Natal,Umhlanga,1641971,3,2,2,153,41258,154214,179643
274,South Africa,Eastern Cape,Gqeberha,1351157,1,3,1,205,38784,144868,175421
275,South Africa,Free State,Bloemfontein,1034423,1,2,1,95,46637,214637,117891
276,South Africa,Mpumalanga,White River,2602290,2,3,3,139,43477,346819,61485
277,South Africa,Limpopo,Polokwane,1762495,2,1,3,114,21562,126799,31151
278,South Africa,North West,Hartbeespoort,2635954,2,3,1,212,33197,256335,95527
279,South Africa,Northern Cape,Kimberley,983272,4,1,1,90,29892,346909,179594
280,South Africa,Gauteng,Alberton,3933153,1,2,2,74,39620,199610,144340
281,South Africa,Western Cape,Cape Town,3649487,4,3,1,100,14026,149212,133745
282,South Africa,KwaZulu-Natal,Durban North,3754941,3,3,1,162,36751,295927,97157
283,South Africa,Eastern Cape,Gqeberha,1976081,4,1,1,112,48511,215812,65826
284,South Africa,Free State,Welkom,852869,1,1,2,161,14241,64609,86590
285,South Africa,Mpumalanga,Nelspruit,1631474,2,1,2,224,50875,344465,134961
286,South Africa,Limpopo,Tzaneen,2210828,4,1,3,196,30376,215611,188055
287,South Africa,North West,Rustenburg,3583736,1,2,3,76,49036,332542,42640
288,South Africa,Northern Cape,Upington,1468467,2,1,3,116,15408,194726,182538
289,South Africa,Gauteng,Fourways,2985619,3,3,1,209,11957,203743,167355
290,South Africa,Western Cape,Stellenbosch,4805488,3,3,3,123,51183,341396,134160
291,South Africa,KwaZulu-Natal,Ballito,3983837,3,1,3,84,39552,108452,43900
292,South Africa,Eastern Cape,Gqeberha,1727844,4,1,3,238,15730,322818,108168
293,South Africa,Free State,Bloemfontein,1330047,3,2,2,181,48577,211672,169440
294,South Africa,Mpumalanga,White River,2557923,4,3,2,74,38773,228578,41062
295,South Africa,Limpopo,Polokwane,1957447,4,1,1,115,14326,347626,151740
296,South Africa,North West,Hartbeespoort,1789903,4,2,3,85,27875,54155,159423
297,South Africa,Northern Cape,Kimberley,978391,4,1,1,100,32352,154418,158455
298,South Africa,Gauteng,Centurion,1867026,2,2,3,69,20838,347498,128037
299,South Africa,Western Cape,Bellville,6703584,2,2,1,88,34641,62346,53445
300,South Africa,KwaZulu-Natal,Hillcrest,2755279,4,2,2,104,26582,141611,111534
301,South Africa,Eastern Cape,Gqeberha,3203839,2,3,2,188,44474,68365,73753
302,South Africa,Free State,Welkom,2624027,1,2,2,105,18844,72004,172689
303,South Africa,Mpumalanga,Nelspruit,957450,2,1,2,200,46318,314186,155255
304,South Africa,Limpopo,Tzaneen,2833509,3,2,1,103,44464,277104,62486
305,South Africa,North West,Rustenburg,966381,4,2,2,101,20875,188348,104986
306,South Africa,Northern Cape,Upington,2371701,2,2,1,112,17931,237565,50644
307,South Africa,Gauteng,Midrand,2470197,2,2,2,74,11729,291660,136237
308,South Africa,Western Cape,Claremont,3081660,4,2,2,228,50233,186907,163918
309,South Africa,KwaZulu-Natal,Umhlanga,2628226,4,1,3,103,29428,179592,107902
310,South Africa,Eastern Cape,Gqeberha,2761221,1,3,3,63,21895,270080,30960
311,South Africa,Free State,Bloemfontein,2297687,1,3,2,83,32183,182141,168021
312,South Africa,Mpumalanga,White River,2049386,4,2,3,68,44684,104190,148201
313,South Africa,Limpopo,Polokwane,2864484,4,2,3,97,51016,277436,143457
314,South Africa,North West,Hartbeespoort,3307184,1,2,3,216,51934,203560,36788
315,South Africa,Northern Cape,Kimberley,1896811,1,1,1,223,46314,288110,117257
316,South Africa,Gauteng,Sandton,4953022,2,3,3,224,41340,246820,127023
317,South Africa,Western Cape,Sea Point,2268175,2,3,1,116,35889,271723,71872
318,South Africa,KwaZulu-Natal,Durban North,3826763,3,2,2,135,48178,129474,183123
319,South Africa,Eastern Cape,Gqeberha,1579903,3,3,2,189,15921,151357,31641
320,South Africa,Free State,Welkom,895714,1,2,2,217,9613,284304,62417
321,South Africa,Mpumalanga,Nelspruit,2365536,4,3,3,124,46875,280461,48969
322,South Africa,Limpopo,Tzaneen,2610427,4,2,3,147,30621,142589,95047
323,South Africa,North West,Rustenburg,974123,2,2,2,131,15361,217921,68832
324,South Africa,Northern Cape,Upington,1786093,3,1,3,113,22142,90791,93386
325,South Africa,Gauteng,Alberton,4301356,2,1,3,146,32688,254775,138321
326,South Africa,Western Cape,Cape Town,1981565,4,3,3,78,47796,303894,87000
327,South Africa,KwaZulu-Natal,Ballito,4294084,2,2,3,78,33821,268109,96387
328,South Africa,Eastern Cape,Gqeberha,1028274,2,2,2,197,48196,79727,86798
329,South Africa,Free State,Bloemfontein,1537995,2,1,3,224,12771,117387,67051
330,South Africa,Mpumalanga,White River,2781760,1,3,2,157,51378,121275,132841
331,South Africa,Limpopo,Polokwane,981373,3,3,2,78,45114,250987,55487
332,South Africa,North West,Hartbeespoort,965294,2,3,3,89,24342,57056,157828
333,South Africa,Northern Cape,Kimberley,1885362,2,3,3,216,13257,271234,56001
334,South Africa,Gauteng,Fourways,5185868,2,1,1,203,33649,107485,78990
335,South Africa,Western Cape,Stellenbosch,2276388,3,2,2,119,23631,68493,73403
336,South Africa,KwaZulu-Natal,Hillcrest,2917359,4,1,2,100,26828,302368,183848
337,South Africa,Eastern Cape,Gqeberha,3215398,1,2,2,238,22447,128014,68111
338,South Africa,Free State,Welkom,2604272,1,1,2,157,26141,144876,70633
339,South Africa,Mpumalanga,Nelspruit,3065167,2,2,3,196,27676,319986,61138
